030,Gemeinderat (light),"3,461,815.00",25%,,"219,051.00",29%,,"3,242,764.00",,"3,111,292.60",4%
,,,,,,,,,,,
040,Stadtkanzlei,"5,379,086.61",39%,,"123,410.60",16%,,"5,255,676.01",,"4,754,175.35",11%
,,,,,,,,,,,
050,Informationsdienst  (light),"1,098,030.67",8%,,"7,077.70",1%,,"1,090,952.97",,"1,026,154.75",6%
,,,,,,,,,,,
060,Finanzinspektorat (light),"1,550,904.60",11%,,"392,618.82",52%,,"1,158,285.78",,"1,154,660.24",0%
,,,,,,,,,,,
,,,,,,,,,,,
Bemerkungen,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
x_neueseite_x,,,,,,,,,,,
1000,Gemeinde und Behörden (GuB),,,,,,,,,,
,,,,,,,,,,,
,Übersicht - Fortsetzung,,,,,,,,,,
,,,,,,,,,,,
Bemerkungen,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
x_neueseite_x,,,,,,,,,,,
1000,Gemeinde und Behörden (GuB),,,,,,,,,,
,,,,,,,,,,,
,Übersicht - Fortsetzung,,,,,,,,,,
,,,,,,,,,,,
Bemerkungen,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
010,Stadtrat (light),,,,,,,,,,
,,,,,,,,,,,
,,,,,Stadtrat (light),,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
x_neueseite_x,,,,,,,,,,,
010,Stadtrat (light),,,,,,,,,,
,,,,,,,,,,,
,Übersicht,,,,,,,,,,
,,,,,,,,,,,
Kosten und,,,Voranschlag,,Voranschlag,Rechnung,,Rechnung,,,
Erlöse,,,2012,,2011,2010,,2009,,,
,Bruttokosten,,"1,849,886.90",,"1,900,413.38","1,797,597.86",,"1,997,649.72",,,
,,,,,,,,,,,
,Erlöse,,"7,577.70",,"5,603.38","8,984.95",,"12,787.70",,,
,,,,,,,,,,,
,Nettokosten,,"1,842,309.20",,"1,894,810.00","1,788,612.91",,"1,984,862.02",,,
,,,,,,,,,,,
,Kostendeckungsgrad in %,,0.4%,,0.3%,0.5%,,0.6%,,,
,,,,,,,,,,,
,,,,,,,,,,,
Nummer,Produktegruppe,Bruttokosten 2012,,,Erlös 2012,,,Nettokosten,,Nettokosten,Abweichung
,,Fr.,%,,Fr.,%,,2012 / Fr.,,2011 / Fr.,2012/2011 %
PG010000,Stadtrat (light),"909,687.25",49%,,0.00,0%,,"909,687.25",,"890,988.77",2%
,,,,,,,,,,,
PG010100,Ratssekretariat (light),"940,199.65",51%,,"7,577.70",100%,,"932,621.95",,"1,003,821.23",-7%
,,,,,,,,,,,
,,,,,,,,,,,
Bemerkungen,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
x_neueseite_x,,,,,,,,,,,
010,Stadtrat (light),,,,,,,,,,
,,,,,,,,,,,
,Produktegruppe PG010000 Stadtrat (light),,,,,,,,,,
,,,,,,,,,,,
Kosten und,,Voranschlag,Voranschlag,,Rechnung,Rechnung,,Finanzierung der Produktegruppe in %,,,
Erlöse,,2012,2011,,2010,2009,,,,,
,Bruttokosten,"909,687.25","892,588.77",,"840,512.65","938,916.95",,,,,
,,,,,,,,,,,
,Erlöse,0.00,"1,600.00",,0.00,"1,506.00",,,,,
,,,,,,,,,,,
,Nettokosten,"909,687.25","890,988.77",,"840,512.65","937,410.95",,,,,
,,,,,,,,,,,
,Kostendeckungsgrad in %,0.0%,0.2%,,0.0%,0.2%,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Nummer,Produkt,Bruttokosten 2012,,,Erlös 2012,,,Nettokosten,,Nettokosten,Abweichung
,,Fr.,%,,Fr.,%,,2012 / Fr.,,2011 / Fr.,2012/2011 %
P010010,Stadtrat,"909,687.25",100%,,0.00,-,,"909,687.25",,"890,988.77",2%
,,,,,,,,,,,
,,,,,,,,,,,
Bemerkungen,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
x_neueseite_x,,,,,,,,,,,
010,Stadtrat (light),,,,,,,,,,
,,,,,,,,,,,
,Produktegruppe PG010000 Stadtrat (light) - Fortsetzung,,,,,,,,,,
,,,,,,,,,,,
Ziele,Übergeordnete Ziele,,,,,Hinweise zur Zielüberprüfung,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Steuerungs-
vorgaben",Vorgabe,Soll 2012,Soll 2011,,Ist 2010,Ist 2009,,Ist 2008,Kommentar,,
,Keine,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Kennzahlen,Kennzahl,,Ist 2010,,Ist 2009,Ist 2008,,Ist 2007,Kommentar,,
,1) Anzahl Sitzungen Stadtrat (P010),,64,,65,67,,61,,,
,,,,,,,,,,,
,2) Anzahl Sitzungen ständige und nicht ständige Kommissionen (P010),,65,,74,68,,77,Kennzahl ohne Delegationssitzungen der ständigen Kommissionen,,
,,,,,,,,,,,
,3) Anzahl Sitzungen andere Gremien des Stadtrats (P010),,11,,14,12,,11,Büro- und Fraktionspräsidienkonferenz sowie Kommissionspräsidienkonferenz,,
,,,,,,,,,,,
,,,,,,,,,,,
Bemerkungen ,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
x_neueseite_x,,,,,,,,,,,
010,Stadtrat (light),,,,,,,,,,
,,,,,,,,,,,
,Produktegruppe PG010100 Ratssekretariat (light),,,,,,,,,,
,,,,,,,,,,,
Kosten und,,Voranschlag,Voranschlag,,Rechnung,Rechnung,,Finanzierung der Produktegruppe in %,,,
Erlöse,,2012,2011,,2010,2009,,,,,
,Bruttokosten,"940,199.65","1,007,824.61",,"957,085.21","1,058,732.77",,,,,
,,,,,,,,,,,
,Erlöse,"7,577.70","4,003.38",,"8,984.95","11,281.70",,,,,
,,,,,,,,,,,
,Nettokosten,"932,621.95","1,003,821.23",,"948,100.26","1,047,451.07",,,,,
,,,,,,,,,,,
,Kostendeckungsgrad in %,0.8%,0.4%,,0.9%,1.1%,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Nummer,Produkt,Bruttokosten 2012,,,Erlös 2012,,,Nettokosten,,Nettokosten,Abweichung
,,Fr.,%,,Fr.,%,,2012 / Fr.,,2011 / Fr.,2012/2011 %
P010110,Sitzungsmanagement,"609,579.92",65%,,"7,577.70",100%,,"602,002.22",,"649,421.30",-7%
,,,,,,,,,,,
P010120,Dienstleistungen,"330,619.73",35%,,0.00,0%,,"330,619.73",,"354,399.93",-7%
,,,,,,,,,,,
,,,,,,,,,,,
Bemerkungen,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
x_neueseite_x,,,,,,,,,,,
010,Stadtrat (light),,,,,,,,,,
,,,,,,,,,,,
,Produktegruppe PG010100 Ratssekretariat (light) - Fortsetzung,,,,,,,,,,
,,,,,,,,,,,
Ziele,Übergeordnete Ziele,,,,,Hinweise zur Zielüberprüfung,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Steuerungs-
vorgaben",Vorgabe,Soll 2012,Soll 2011,,Ist 2010,Ist 2009,,Ist 2008,Kommentar,,
,Keine,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Kennzahlen,Kennzahl,,Ist 2010,,Ist 2009,Ist 2008,,Ist 2007,Kommentar,,
,1) Zeitaufwand für Stadtrat in Stunden (P110/P120),,"4,485",,"4,558","4,968",,"4,199",,,
,,,,,,,,,,,
,2) Zeitaufwand für Kommissionen in Stunden (P110/P120),,"2,846",,"3,671","3,497",,"3,257",,,
,,,,,,,,,,,
,3) Zeitaufwand für andere Gremien in Stunden (P110/P120),,236,,421,277,,59,,,
,,,,,,,,,,,
,4) Anteil zufriedene Stadtratsmitglieder (P110/P120),,Keine Umfrage,,Keine Umfrage,Keine Umfrage,,Keine Umfrage,,,
,,,,,,,,,,,
,,,,,,,,,,,
Bemerkungen ,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
020,Ombudsstelle,,,,,,,,,,
,,,,,,,,,,,
,,,,,Ombudsstelle,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
x_neueseite_x,,,,,,,,,,,
020,Ombudsstelle,,,,,,,,,,
,,,,,,,,,,,
,Übersicht,,,,,,,,,,
,,,,,,,,,,,
Kosten und,,,Voranschlag,,Voranschlag,Rechnung,,Rechnung,,,
Erlöse,,,2012,,2011,2010,,2009,,,
,Bruttokosten,,"393,506.34",,"390,700.94","328,040.58",,"335,532.36",,,
,,,,,,,,,,,
,Erlöse,,"2,867.70",,"2,586.40","2,586.40",,"2,768.40",,,
,,,,,,,,,,,
,Nettokosten,,"390,638.64",,"388,114.54","325,454.18",,"332,763.96",,,
,,,,,,,,,,,
,Kostendeckungsgrad in %,,0.7%,,0.7%,0.8%,,0.8%,,,
,,,,,,,,,,,
,,,,,,,,,,,
Nummer,Produktegruppe,Bruttokosten 2012,,,Erlös 2012,,,Nettokosten,,Nettokosten,Abweichung
,,Fr.,%,,Fr.,%,,2012 / Fr.,,2011 / Fr.,2012/2011 %
PG020000,Ombudstätigkeit und Datenschutz,"393,506.34",100%,,"2,867.70",100%,,"390,638.64",,"388,114.54",1%
,,,,,,,,,,,
,,,,,,,,,,,
Bemerkungen,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
x_neueseite_x,,,,,,,,,,,
020,Ombudsstelle,,,,,,,,,,
,,,,,,,,,,,
,Produktegruppe PG020000 Ombudstätigkeit und Datenschutz,,,,,,,,,,
,,,,,,,,,,,
Kosten und,,Voranschlag,Voranschlag,,Rechnung,Rechnung,,Finanzierung der Produktegruppe in %,,,
Erlöse,,2012,2011,,2010,2009,,,,,
,Bruttokosten,"393,506.34","390,700.94",,"328,040.58","335,532.36",,,,,
,,,,,,,,,,,
,Erlöse,"2,867.70","2,586.40",,"2,586.40","2,768.40",,,,,
,,,,,,,,,,,
,Nettokosten,"390,638.64","388,114.54",,"325,454.18","332,763.96",,,,,
,,,,,,,,,,,
,Kostendeckungsgrad in %,0.7%,0.7%,,0.8%,0.8%,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Nummer,Produkt,Bruttokosten 2012,,,Erlös 2012,,,Nettokosten,,Nettokosten,Abweichung
,,Fr.,%,,Fr.,%,,2012 / Fr.,,2011 / Fr.,2012/2011 %
P020010,Ombudstätigkeit,"314,805.16",80%,,"2,294.16",80%,,"312,511.00",,"287,397.46",9%
,,,,,,,,,,,
P020020,Datenschutz,"78,701.18",20%,,573.54,20%,,"78,127.64",,"100,717.08",-22%
,,,,,,,,,,,
,,,,,,,,,,,
Bemerkungen,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
x_neueseite_x,,,,,,,,,,,
020,Ombudsstelle,,,,,,,,,,
,,,,,,,,,,,
,Produktegruppe PG020000 Ombudstätigkeit und Datenschutz - Fortsetzung,,,,,,,,,,
,,,,,,,,,,,
Ziele,Übergeordnete Ziele,,,,,Hinweise zur Zielüberprüfung,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Steuerungs-
vorgaben",Vorgabe,Soll 2012,Soll 2011,,Ist 2010,Ist 2009,,Ist 2008,Kommentar,,
,1) Anteil Datenschutz (P020),nicht < 20%,nicht < 20%,,16%,15%,,17%,,,
,,,,,,,,,,,
,2) Anteil Ombudstätigkeit (P010),nicht < 75%,nicht < 75%,,84%,85%,,83%,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Kennzahlen,Kennzahl,,Ist 2010,,Ist 2009,Ist 2008,,Ist 2007,Kommentar,,
,1) Gesamtzahl der Anliegen (P010/P020),,841,,868,820,,757,,,
,,,,,,,,,,,
,2) Eröffnete Dossiers (P010/P020),,181,,188,174,,155,,,
,,,,,,,,,,,
,3) Anzahl Anfragen (P010/P020),,254,,234,238,,205,,,
,,,,,,,,,,,
,,,,,,,,,,,
Bemerkungen ,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
020,Ombudsstelle,,,,,,,,,,
,,,,,,,,,,,
,Produktegruppe PG020000 Ombudstätigkeit und Datenschutz - Fortsetzung,,,,,,,,,,
,,,,,,,,,,,
Bemerkungen,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
030,Gemeinderat (light),,,,,,,,,,
,,,,,,,,,,,
,,,,,Gemeinderat (light),,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
x_neueseite_x,,,,,,,,,,,
030,Gemeinderat (light),,,,,,,,,,
,,,,,,,,,,,
,Übersicht,,,,,,,,,,
,,,,,,,,,,,
Kosten und,,,Voranschlag,,Voranschlag,Rechnung,,Rechnung,,,
Erlöse,,,2012,,2011,2010,,2009,,,
,Bruttokosten,,"3,461,815.00",,"3,260,230.60","3,390,936.64",,"3,266,188.09",,,
,,,,,,,,,,,
,Erlöse,,"219,051.00",,"148,938.00","156,009.95",,"165,260.50",,,
,,,,,,,,,,,
,Nettokosten,,"3,242,764.00",,"3,111,292.60","3,234,926.69",,"3,100,927.59",,,
,,,,,,,,,,,
,Kostendeckungsgrad in %,,6.3%,,4.6%,4.6%,,5.1%,,,
,,,,,,,,,,,
,,,,,,,,,,,
Nummer,Produktegruppe,Bruttokosten 2012,,,Erlös 2012,,,Nettokosten,,Nettokosten,Abweichung
,,Fr.,%,,Fr.,%,,2012 / Fr.,,2011 / Fr.,2012/2011 %
PG030000,Gemeinderat (light),"3,461,815.00",100%,,"219,051.00",100%,,"3,242,764.00",,"3,111,292.60",4%
,,,,,,,,,,,
,,,,,,,,,,,
Bemerkungen,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
x_neueseite_x,,,,,,,,,,,
030,Gemeinderat (light),,,,,,,,,,
,,,,,,,,,,,
,Produktegruppe PG030000 Gemeinderat (light),,,,,,,,,,
,,,,,,,,,,,
Kosten und,,Voranschlag,Voranschlag,,Rechnung,Rechnung,,Finanzierung der Produktegruppe in %,,,
Erlöse,,2012,2011,,2010,2009,,,,,
,Bruttokosten,"3,461,815.00","3,260,230.60",,"3,390,936.64","3,266,188.09",,,,,
,,,,,,,,,,,
,Erlöse,"219,051.00","148,938.00",,"156,009.95","165,260.50",,,,,
,,,,,,,,,,,
,Nettokosten,"3,242,764.00","3,111,292.60",,"3,234,926.69","3,100,927.59",,,,,
,,,,,,,,,,,
,Kostendeckungsgrad in %,6.3%,4.6%,,4.6%,5.1%,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Nummer,Produkt,Bruttokosten 2012,,,Erlös 2012,,,Nettokosten,,Nettokosten,Abweichung
,,Fr.,%,,Fr.,%,,2012 / Fr.,,2011 / Fr.,2012/2011 %
P030010,Gemeinderat,"2,186,415.00",63%,,"219,051.00",100%,,"1,967,364.00",,"2,035,892.60",-3%
,,,,,,,,,,,
P030020,Beiträge,"1,275,400.00",37%,,0.00,0%,,"1,275,400.00",,"1,075,400.00",19%
,,,,,,,,,,,
,,,,,,,,,,,
Bemerkungen,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
x_neueseite_x,,,,,,,,,,,
030,Gemeinderat (light),,,,,,,,,,
,,,,,,,,,,,
,Produktegruppe PG030000 Gemeinderat (light) - Fortsetzung,,,,,,,,,,
,,,,,,,,,,,
Ziele,Übergeordnete Ziele,,,,,Hinweise zur Zielüberprüfung,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Steuerungs-
vorgaben",Vorgabe,Soll 2012,Soll 2011,,Ist 2010,Ist 2009,,Ist 2008,Kommentar,,
,Keine,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Kennzahlen,Kennzahl,,Ist 2010,,Ist 2009,Ist 2008,,Ist 2007,Kommentar,,
,Keine,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Bemerkungen ,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
040,Stadtkanzlei,,,,,,,,,,
,,,,,,,,,,,
,,,,,Stadtkanzlei,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
x_neueseite_x,,,,,,,,,,,
040,Stadtkanzlei,,,,,,,,,,
,,,,,,,,,,,
,Übersicht,,,,,,,,,,
,,,,,,,,,,,
Kosten und,,,Voranschlag,,Voranschlag,Rechnung,,Rechnung,,,
Erlöse,,,2012,,2011,2010,,2009,,,
,Bruttokosten,,"5,379,086.61",,"4,905,416.95","6,316,752.17",,"5,401,009.22",,,
,,,,,,,,,,,
,Erlöse,,"123,410.60",,"151,241.60","997,614.60",,"871,913.35",,,
,,,,,,,,,,,
,Nettokosten,,"5,255,676.01",,"4,754,175.35","5,319,137.57",,"4,529,095.87",,,
,,,,,,,,,,,
,Kostendeckungsgrad in %,,2.3%,,3.1%,15.8%,,16.1%,,,
,,,,,,,,,,,
,,,,,,,,,,,
Nummer,Produktegruppe,Bruttokosten 2012,,,Erlös 2012,,,Nettokosten,,Nettokosten,Abweichung
,,Fr.,%,,Fr.,%,,2012 / Fr.,,2011 / Fr.,2012/2011 %
PG040000,Leistungen für Politik und Verwaltungsführung (light),"2,021,420.87",38%,,"66,431.00",54%,,"1,954,989.87",,"1,868,183.81",5%
,,,,,,,,,,,
